"Series Description","Nonfinancial corporate business; corporate equities; liability","Nonfinancial corporate business; net dividends paid","Farm business; net dividends paid","Nonfinancial noncorporate business; proprietors' equity in noncorporate business (net worth)","Nonfinancial business; debt securities and loans; liability","Nonfinancial corporate business; consumption of fixed capital, structures, equipment, and intellectual property products, including equity REIT residential structures (NIPA basis)","Nonfinancial noncorporate business; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis ","Nonfinancial business; total capital expenditures"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","Z1/Z1/FA103164103.Q","Z1/Z1/FA106121075.Q","Z1/OTHER/FA136121073.Q","Z1/Z1/FA112090205.Q","Z1/Z1/FA144104005.Q","Z1/Z1/FA106300083.Q","Z1/Z1/FA116300001.Q","Z1/Z1/FA145050005.Q"
"Time Period","FA103164103.Q","FA106121075.Q","FA136121073.Q","FA112090205.Q","FA144104005.Q","FA106300083.Q","FA116300001.Q","FA145050005.Q"
1952Q1,2292.0,6660.0,36.0,5579.0,6492.0,15255.0,8257.0,39391.0
1952Q2,2656.0,7236.0,36.0,-6.0,9132.0,15438.0,8325.0,33823.0
1952Q3,1560.0,7056.0,36.0,1705.0,9624.0,15672.0,8395.0,38139.0
1952Q4,2772.0,7260.0,36.0,2876.0,9676.0,15955.0,8470.0,40742.0
1953Q1,2072.0,6848.0,28.0,1568.0,7040.0,16288.0,8551.0,41094.0
1953Q2,2180.0,7440.0,32.0,-453.0,6028.0,16598.0,8623.0,41386.0
1953Q3,1260.0,7416.0,32.0,717.0,6592.0,16883.0,8692.0,41096.0
1953Q4,1552.0,7268.0,32.0,9820.0,-576.0,17143.0,8757.0,36301.0
1954Q1,2948.0,7572.0,28.0,-1745.0,6112.0,17380.0,8814.0,35197.0
1954Q2,2088.0,7048.0,28.0,-3056.0,4704.0,17612.0,8874.0,33790.0
1954Q3,912.0,7424.0,28.0,-3067.0,8676.0,17840.0,8935.0,35932.0
1954Q4,384.0,7384.0,28.0,3534.0,5104.0,18064.0,8995.0,37851.0
1955Q1,2124.0,7984.0,24.0,-554.0,6908.0,18283.0,9058.0,42429.0
1955Q2,640.0,8216.0,28.0,-4618.0,13572.0,18623.0,9155.0,45650.0
1955Q3,1112.0,8704.0,28.0,-2602.0,11712.0,19082.0,9291.0,47759.0
1955Q4,3000.0,8756.0,28.0,3469.0,17392.0,19660.0,9462.0,52604.0
1956Q1,2088.0,8880.0,24.0,751.0,12676.0,20359.0,9670.0,52546.0
1956Q2,936.0,8944.0,24.0,-2442.0,15112.0,21037.0,9855.0,50908.0
1956Q3,2292.0,8868.0,24.0,-1400.0,12524.0,21695.0,10018.0,52377.0
1956Q4,3684.0,9336.0,24.0,3164.0,11032.0,22333.0,10159.0,51557.0
1957Q1,3040.0,9288.0,28.0,1114.0,12344.0,22950.0,10278.0,52666.0
1957Q2,3612.0,9148.0,32.0,-33.0,14872.0,23519.0,10402.0,53221.0
1957Q3,1196.0,9232.0,32.0,82.0,11004.0,24041.0,10529.0,54683.0
1957Q4,1916.0,9236.0,28.0,410.0,10260.0,24514.0,10663.0,46542.0
1958Q1,884.0,9232.0,32.0,2987.0,9628.0,24940.0,10799.0,43451.0
1958Q2,3432.0,9224.0,32.0,1887.0,8304.0,25333.0,10916.0,41934.0
1958Q3,1940.0,9132.0,32.0,3222.0,10948.0,25692.0,11015.0,47710.0
1958Q4,1616.0,8872.0,32.0,3442.0,15660.0,26018.0,11094.0,53619.0
1959Q1,2044.0,9480.0,10.0,-2925.0,10520.0,26311.0,11088.0,54048.0
1959Q2,2952.0,9856.0,10.0,-7727.0,20344.0,26579.0,11140.0,59229.0
1959Q3,1040.0,9944.0,10.0,-6828.0,13272.0,26822.0,11183.0,53095.0
1959Q4,2276.0,9984.0,10.0,-592.0,14464.0,27041.0,11217.0,56663.0
1960Q1,1404.0,10324.0,40.0,-200.0,14904.0,27235.0,11199.0,66320.0
1960Q2,1476.0,10340.0,40.0,-1772.0,15916.0,27442.0,11269.0,58585.0
1960Q3,1600.0,10696.0,40.0,-855.0,10104.0,27664.0,11328.0,58750.0
1960Q4,980.0,10460.0,40.0,-721.0,13964.0,27899.0,11375.0,48611.0
1961Q1,2680.0,10256.0,36.0,-5154.0,9556.0,28148.0,11410.0,51409.0
1961Q2,4672.0,10464.0,36.0,963.0,13404.0,28414.0,11460.0,56892.0
1961Q3,1532.0,10536.0,37.0,625.0,14064.0,28697.0,11527.0,62646.0
1961Q4,-400.0,11048.0,39.0,4507.0,19328.0,28997.0,11611.0,64098.0
1962Q1,244.0,11392.0,46.0,1547.0,12924.0,29314.0,11712.0,68639.0
1962Q2,576.0,11680.0,47.0,-609.0,20540.0,29645.0,11807.0,66429.0
1962Q3,256.0,11880.0,47.0,421.0,17244.0,29989.0,11894.0,68171.0
1962Q4,400.0,11408.0,48.0,937.0,21548.0,30348.0,11974.0,65297.0
1963Q1,-20.0,12056.0,114.0,2265.0,15556.0,30720.0,12045.0,69571.0
1963Q2,-44.0,12424.0,116.0,633.0,18824.0,31117.0,12131.0,69654.0
1963Q3,384.0,12544.0,117.0,2238.0,17376.0,31538.0,12231.0,72345.0
1963Q4,-1684.0,12752.0,121.0,3558.0,25900.0,31984.0,12346.0,74203.0
1964Q1,2548.0,13080.0,38.0,2791.0,16300.0,32454.0,12476.0,75551.0
1964Q2,3128.0,13808.0,40.0,227.0,23156.0,32961.0,12621.0,76001.0
1964Q3,748.0,14244.0,40.0,1187.0,23024.0,33506.0,12780.0,78004.0
1964Q4,-1844.0,14852.0,42.0,5346.0,26332.0,34088.0,12953.0,80955.0
1965Q1,-224.0,14960.0,59.0,3236.0,28764.0,34707.0,13140.0,90928.0
1965Q2,1320.0,15696.0,61.0,1735.0,29860.0,35403.0,13347.0,91174.0
1965Q3,52.0,16644.0,63.0,3467.0,29332.0,36176.0,13573.0,94569.0
1965Q4,-1260.0,17480.0,65.0,6610.0,30212.0,37026.0,13817.0,96573.0
1966Q1,-528.0,17576.0,47.0,1199.0,38208.0,37953.0,14081.0,106279.0
1966Q2,6032.0,16936.0,47.0,1474.0,42080.0,38899.0,14338.0,107198.0
1966Q3,1068.0,16572.0,46.0,5483.0,32008.0,39865.0,14588.0,107644.0
1966Q4,-1536.0,15920.0,44.0,5827.0,25684.0,40850.0,14831.0,112709.0
1967Q1,1008.0,17104.0,34.0,6677.0,33476.0,41855.0,15065.0,110350.0
1967Q2,1920.0,17896.0,35.0,-1090.0,37240.0,42896.0,15311.0,102705.0
1967Q3,2944.0,17560.0,36.0,-236.0,32820.0,43972.0,15567.0,104944.0
1967Q4,3716.0,16532.0,34.0,-1615.0,27112.0,45085.0,15832.0,109819.0
1968Q1,1460.0,18648.0,38.0,10736.0,39864.0,46234.0,16107.0,114314.0
1968Q2,2120.0,18604.0,40.0,1319.0,43288.0,47437.0,16414.0,119029.0
1968Q3,-1904.0,19376.0,41.0,923.0,40668.0,48693.0,16752.0,115232.0
1968Q4,-2312.0,19524.0,41.0,-343.0,46340.0,50003.0,17122.0,117402.0
1969Q1,1348.0,19028.0,39.0,5627.0,43872.0,51367.0,17523.0,127563.0
1969Q2,1684.0,19160.0,39.0,-3000.0,56732.0,52759.0,17905.0,127818.0
1969Q3,3960.0,18812.0,39.0,-1887.0,49728.0,54180.0,18269.0,132718.0
1969Q4,6632.0,19104.0,40.0,-184.0,42180.0,55630.0,18615.0,128672.0
1970Q1,5268.0,18272.0,24.0,13776.0,47696.0,57109.0,18945.0,125545.0
1970Q2,4780.0,18484.0,24.0,-3588.0,59812.0,58561.0,19304.0,129763.0
1970Q3,4424.0,18044.0,24.0,-6473.0,45576.0,59986.0,19696.0,130837.0
1970Q4,8304.0,18380.0,24.0,-5148.0,41376.0,61383.0,20120.0,120822.0
1971Q1,7928.0,18912.0,54.0,5919.0,46956.0,62754.0,20577.0,141835.0
1971Q2,13260.0,17584.0,54.0,120.0,59392.0,64093.0,21032.0,142134.0
1971Q3,15360.0,19008.0,54.0,4604.0,56168.0,65402.0,21484.0,143788.0
1971Q4,9192.0,17076.0,54.0,-3421.0,43596.0,66679.0,21933.0,137495.0
1972Q1,9032.0,19900.0,72.0,3870.0,63512.0,67926.0,22380.0,147941.0
1972Q2,13712.0,19788.0,73.0,-9139.0,71144.0,69329.0,22856.0,160244.0
1972Q3,10384.0,19712.0,75.0,-959.0,66044.0,70890.0,23360.0,165629.0
1972Q4,10560.0,19288.0,76.0,-13523.0,81820.0,72607.0,23888.0,170102.0
1973Q1,7004.0,19688.0,91.0,-9202.0,102740.0,74482.0,24436.0,182763.0
1973Q2,8676.0,20580.0,94.0,2151.0,103876.0,76711.0,25091.0,192610.0
1973Q3,5148.0,21424.0,98.0,18525.0,99584.0,79295.0,25854.0,192037.0
1973Q4,10704.0,21308.0,101.0,25942.0,69088.0,82233.0,26726.0,206406.0
1974Q1,6220.0,20276.0,131.0,-20393.0,94960.0,85525.0,27709.0,197897.0
1974Q2,4976.0,23048.0,134.0,-27927.0,112536.0,89186.0,28752.0,216923.0
1974Q3,-20.0,22144.0,136.0,-33598.0,92076.0,93214.0,29853.0,194879.0
1974Q4,5212.0,20660.0,135.0,-29147.0,73104.0,97611.0,31008.0,214721.0
1975Q1,7732.0,24840.0,172.0,-14591.0,39148.0,102375.0,32213.0,173819.0
1975Q2,12892.0,24220.0,171.0,-16376.0,38968.0,106420.0,33234.0,169202.0
1975Q3,6852.0,24092.0,172.0,-10703.0,39772.0,109747.0,34076.0,185509.0
1975Q4,12156.0,25132.0,174.0,-9318.0,34728.0,112354.0,34741.0,191832.0
1976Q1,12608.0,24140.0,137.0,-21834.0,65388.0,114243.0,35233.0,214141.0
1976Q2,14020.0,27876.0,144.0,-12642.0,69796.0,116610.0,35855.0,229799.0
1976Q3,7316.0,28972.0,151.0,-9092.0,77336.0,119456.0,36603.0,236420.0
1976Q4,8152.0,30112.0,159.0,-9041.0,82996.0,122779.0,37475.0,232082.0
1977Q1,-640.0,29220.0,259.0,-29356.0,109488.0,126580.0,38466.0,247565.0
1977Q2,1728.0,29856.0,266.0,-10056.0,110056.0,130492.0,39521.0,265401.0
1977Q3,4420.0,31232.0,276.0,-1578.0,109488.0,134516.0,40642.0,288785.0
1977Q4,5400.0,33336.0,283.0,8765.0,138556.0,138652.0,41830.0,292037.0
1978Q1,-6444.0,33932.0,173.0,-14273.0,143412.0,142898.0,43089.0,298639.0
1978Q2,2792.0,33088.0,177.0,-18649.0,141648.0,147498.0,44453.0,327116.0
1978Q3,800.0,37468.0,185.0,-12681.0,123760.0,152452.0,45925.0,339676.0
1978Q4,2448.0,39216.0,192.0,-13569.0,144180.0,157759.0,47508.0,361617.0
1979Q1,-6740.0,38200.0,237.0,-7957.0,148516.0,163420.0,49206.0,374581.0
1979Q2,-12448.0,38176.0,243.0,-41363.0,180460.0,169294.0,50950.0,384337.0
1979Q3,-7580.0,35940.0,248.0,-30162.0,170104.0,175381.0,52742.0,389101.0
1979Q4,-4576.0,38240.0,255.0,-35920.0,141880.0,181680.0,54581.0,394681.0
1980Q1,5500.0,38272.0,189.0,-52559.0,161140.0,188193.0,56467.0,400840.0
1980Q2,3400.0,51604.0,197.0,-54311.0,98376.0,195065.0,58368.0,380569.0
1980Q3,10100.0,43044.0,198.0,-51780.0,108880.0,202296.0,60284.0,352479.0
1980Q4,22500.0,45684.0,201.0,-18684.0,172776.0,209887.0,62215.0,406527.0
1981Q1,3200.0,49508.0,324.0,-3219.0,141820.0,217837.0,64161.0,460977.0
1981Q2,-5400.0,51788.0,343.0,9078.0,229096.0,225516.0,66059.0,456639.0
1981Q3,-26600.0,54016.0,358.0,20832.0,205360.0,232923.0,67914.0,510656.0
1981Q4,-25000.0,54696.0,367.0,5694.0,183900.0,240060.0,69730.0,496803.0
1982Q1,-7500.0,58396.0,261.0,-44667.0,216932.0,246926.0,71509.0,442702.0
1982Q2,2700.0,47414.0,257.0,-69265.0,184272.0,252454.0,72868.0,445568.0
1982Q3,-7500.0,52386.0,259.0,-66502.0,185480.0,256644.0,73797.0,442775.0
1982Q4,19900.0,58033.0,267.0,-52817.0,71044.0,259495.0,74293.0,399665.0
1983Q1,22900.0,62963.0,256.0,-51929.0,110164.0,261009.0,74353.0,389005.0
1983Q2,36900.0,60834.0,260.0,-50464.0,153728.0,263057.0,74567.0,436780.0
